ticker,total_days,matching_days,match_percentage,max_difference,mean_difference
GOOGL,959,0,0.0,0.6423889160156193,0.4357832248914477
AMGN,959,49,5.109489051094891,28.654626464843773,13.331605173693708
AVGO,959,0,0.0,4.592830657958984,2.5505591480625065
DLTR,959,958,99.89572471324296,0.010001525878905682,2.383537411564048e-05
ISRG,959,959,100.0,0.009995117187486358,0.000457711483311786
LULU,959,959,100.0,0.009999999999990905,3.864180929248955e-05
QCOM,959,0,0.0,13.512666015625001,6.388104202859221
TXN,959,0,0.0,19.465812377929694,10.031078925267
