Date,1 Mo,Daily_Risk_Free_Rate
2021-01-04,0.09,3.5698287639274184e-06
2021-01-05,0.08,3.1733390453148047e-06
2021-01-06,0.09,3.5698287639274184e-06
2021-01-07,0.09,3.5698287639274184e-06
2021-01-08,0.08,3.1733390453148047e-06
2021-01-11,0.09,3.5698287639274184e-06
2021-01-12,0.09,3.5698287639274184e-06
2021-01-13,0.09,3.5698287639274184e-06
2021-01-14,0.09,3.5698287639274184e-06
2021-01-15,0.08,3.1733390453148047e-06
2021-01-19,0.07,2.77680986426887e-06
2021-01-20,0.08,3.1733390453148047e-06
2021-01-21,0.07,2.77680986426887e-06
2021-01-22,0.07,2.77680986426887e-06
2021-01-25,0.07,2.77680986426887e-06
2021-01-26,0.05,1.98363308512306e-06
2021-01-27,0.05,1.98363308512306e-06
2021-01-28,0.05,1.98363308512306e-06
2021-01-29,0.07,2.77680986426887e-06
2021-02-01,0.06,2.3802412136841866e-06
2021-02-02,0.04,1.5869854708139286e-06
2021-02-03,0.03,1.1902983632072761e-06
2021-02-04,0.03,1.1902983632072761e-06
2021-02-05,0.02,7.935717540874521e-07
2021-02-08,0.04,1.5869854708139286e-06
2021-02-09,0.04,1.5869854708139286e-06
2021-02-10,0.05,1.98363308512306e-06
2021-02-11,0.05,1.98363308512306e-06
2021-02-12,0.03,1.1902983632072761e-06
2021-02-16,0.03,1.1902983632072761e-06
2021-02-17,0.03,1.1902983632072761e-06
2021-02-18,0.03,1.1902983632072761e-06
2021-02-19,0.03,1.1902983632072761e-06
2021-02-22,0.03,1.1902983632072761e-06
2021-02-23,0.03,1.1902983632072761e-06
2021-02-24,0.03,1.1902983632072761e-06
2021-02-25,0.04,1.5869854708139286e-06
2021-02-26,0.04,1.5869854708139286e-06
2021-03-01,0.03,1.1902983632072761e-06
2021-03-02,0.04,1.5869854708139286e-06
2021-03-03,0.04,1.5869854708139286e-06
2021-03-04,0.03,1.1902983632072761e-06
2021-03-05,0.04,1.5869854708139286e-06
2021-03-08,0.04,1.5869854708139286e-06
2021-03-09,0.04,1.5869854708139286e-06
2021-03-10,0.03,1.1902983632072761e-06
2021-03-11,0.04,1.5869854708139286e-06
2021-03-12,0.03,1.1902983632072761e-06
