Date,1 Mo,Daily_Risk_Free_Rate
2021-03-15,0.02,7.935717540874521e-07
2021-03-16,0.01,3.968056356828953e-07
2021-03-17,0.01,3.968056356828953e-07
2021-03-18,0.01,3.968056356828953e-07
2021-03-19,0.01,3.968056356828953e-07
2021-03-22,0.02,7.935717540874521e-07
2021-03-23,0.02,7.935717540874521e-07
2021-03-24,0.02,7.935717540874521e-07
2021-03-25,0.02,7.935717540874521e-07
2021-03-26,0.02,7.935717540874521e-07
2021-03-29,0.02,7.935717540874521e-07
2021-03-30,0.01,3.968056356828953e-07
2021-03-31,0.01,3.968056356828953e-07
2021-04-01,0.02,7.935717540874521e-07
2021-04-02,0.02,7.935717540874521e-07
2021-04-05,0.03,1.1902983632072761e-06
2021-04-06,0.02,7.935717540874521e-07
2021-04-07,0.01,3.968056356828953e-07
2021-04-08,0.02,7.935717540874521e-07
2021-04-09,0.02,7.935717540874521e-07
2021-04-12,0.02,7.935717540874521e-07
2021-04-13,0.03,1.1902983632072761e-06
2021-04-14,0.02,7.935717540874521e-07
2021-04-15,0.02,7.935717540874521e-07
2021-04-16,0.02,7.935717540874521e-07
2021-04-19,0.01,3.968056356828953e-07
2021-04-20,0.01,3.968056356828953e-07
2021-04-21,0.0,0.0
2021-04-22,0.02,7.935717540874521e-07
2021-04-23,0.01,3.968056356828953e-07
2021-04-26,0.02,7.935717540874521e-07
2021-04-27,0.01,3.968056356828953e-07
2021-04-28,0.01,3.968056356828953e-07
2021-04-29,0.01,3.968056356828953e-07
2021-04-30,0.01,3.968056356828953e-07
2021-05-03,0.02,7.935717540874521e-07
2021-05-04,0.01,3.968056356828953e-07
2021-05-05,0.01,3.968056356828953e-07
2021-05-06,0.01,3.968056356828953e-07
2021-05-07,0.01,3.968056356828953e-07
2021-05-10,0.02,7.935717540874521e-07
2021-05-11,0.01,3.968056356828953e-07
2021-05-12,0.01,3.968056356828953e-07
2021-05-13,0.0,0.0
2021-05-14,0.01,3.968056356828953e-07
2021-05-17,0.0,0.0
2021-05-18,0.0,0.0
2021-05-19,0.0,0.0
2021-05-20,0.01,3.968056356828953e-07
2021-05-21,0.0,0.0
2021-05-24,0.01,3.968056356828953e-07
2021-05-25,0.01,3.968056356828953e-07
2021-05-26,0.0,0.0
2021-05-27,0.0,0.0
2021-05-28,0.01,3.968056356828953e-07
2021-06-01,0.01,3.968056356828953e-07
2021-06-02,0.01,3.968056356828953e-07
2021-06-03,0.0,0.0
2021-06-04,0.01,3.968056356828953e-07
2021-06-07,0.01,3.968056356828953e-07
2021-06-08,0.01,3.968056356828953e-07
2021-06-09,0.01,3.968056356828953e-07
2021-06-10,0.01,3.968056356828953e-07
2021-06-11,0.01,3.968056356828953e-07
2021-06-14,0.01,3.968056356828953e-07
2021-06-15,0.02,7.935717540874521e-07
2021-06-16,0.04,1.5869854708139286e-06
2021-06-17,0.05,1.98363308512306e-06
2021-06-18,0.05,1.98363308512306e-06
2021-06-21,0.04,1.5869854708139286e-06
2021-06-22,0.04,1.5869854708139286e-06
2021-06-23,0.04,1.5869854708139286e-06
2021-06-24,0.05,1.98363308512306e-06
2021-06-25,0.05,1.98363308512306e-06
2021-06-28,0.04,1.5869854708139286e-06
2021-06-29,0.04,1.5869854708139286e-06
2021-06-30,0.05,1.98363308512306e-06
2021-07-01,0.05,1.98363308512306e-06
2021-07-02,0.05,1.98363308512306e-06
2021-07-06,0.05,1.98363308512306e-06
2021-07-07,0.05,1.98363308512306e-06
2021-07-08,0.06,2.3802412136841866e-06
2021-07-09,0.06,2.3802412136841866e-06
2021-07-12,0.05,1.98363308512306e-06
2021-07-13,0.05,1.98363308512306e-06
2021-07-14,0.06,2.3802412136841866e-06
2021-07-15,0.05,1.98363308512306e-06
2021-07-16,0.05,1.98363308512306e-06
2021-07-19,0.05,1.98363308512306e-06
2021-07-20,0.05,1.98363308512306e-06
2021-07-21,0.04,1.5869854708139286e-06
2021-07-22,0.04,1.5869854708139286e-06
2021-07-23,0.05,1.98363308512306e-06
2021-07-26,0.05,1.98363308512306e-06
2021-07-27,0.04,1.5869854708139286e-06
2021-07-28,0.04,1.5869854708139286e-06
2021-07-29,0.05,1.98363308512306e-06
2021-07-30,0.05,1.98363308512306e-06
2021-08-02,0.05,1.98363308512306e-06
2021-08-03,0.05,1.98363308512306e-06
2021-08-04,0.05,1.98363308512306e-06
2021-08-05,0.05,1.98363308512306e-06
2021-08-06,0.04,1.5869854708139286e-06
2021-08-09,0.04,1.5869854708139286e-06
2021-08-10,0.05,1.98363308512306e-06
2021-08-11,0.05,1.98363308512306e-06
2021-08-12,0.05,1.98363308512306e-06
2021-08-13,0.04,1.5869854708139286e-06
2021-08-16,0.04,1.5869854708139286e-06
2021-08-17,0.03,1.1902983632072761e-06
2021-08-18,0.03,1.1902983632072761e-06
2021-08-19,0.04,1.5869854708139286e-06
2021-08-20,0.04,1.5869854708139286e-06
2021-08-23,0.04,1.5869854708139286e-06
2021-08-24,0.03,1.1902983632072761e-06
2021-08-25,0.04,1.5869854708139286e-06
2021-08-26,0.04,1.5869854708139286e-06
2021-08-27,0.04,1.5869854708139286e-06
2021-08-30,0.04,1.5869854708139286e-06
2021-08-31,0.03,1.1902983632072761e-06
2021-09-01,0.04,1.5869854708139286e-06
2021-09-02,0.05,1.98363308512306e-06
2021-09-03,0.04,1.5869854708139286e-06
2021-09-07,0.04,1.5869854708139286e-06
2021-09-08,0.05,1.98363308512306e-06
2021-09-09,0.07,2.77680986426887e-06
2021-09-10,0.06,2.3802412136841866e-06
2021-09-13,0.06,2.3802412136841866e-06
2021-09-14,0.05,1.98363308512306e-06
2021-09-15,0.04,1.5869854708139286e-06
2021-09-16,0.06,2.3802412136841866e-06
2021-09-17,0.06,2.3802412136841866e-06
2021-09-20,0.06,2.3802412136841866e-06
2021-09-21,0.05,1.98363308512306e-06
2021-09-22,0.04,1.5869854708139286e-06
2021-09-23,0.05,1.98363308512306e-06
2021-09-24,0.06,2.3802412136841866e-06
2021-09-27,0.06,2.3802412136841866e-06
2021-09-28,0.07,2.77680986426887e-06
2021-09-29,0.05,1.98363308512306e-06
2021-09-30,0.07,2.77680986426887e-06
2021-10-01,0.08,3.1733390453148047e-06
2021-10-04,0.09,3.5698287639274184e-06
2021-10-05,0.1,3.966279028766451e-06
2021-10-06,0.06,2.3802412136841866e-06
2021-10-07,0.03,1.1902983632072761e-06
2021-10-08,0.02,7.935717540874521e-07
2021-10-12,0.03,1.1902983632072761e-06
2021-10-13,0.03,1.1902983632072761e-06
2021-10-14,0.05,1.98363308512306e-06
2021-10-15,0.04,1.5869854708139286e-06
2021-10-18,0.05,1.98363308512306e-06
2021-10-19,0.06,2.3802412136841866e-06
2021-10-20,0.06,2.3802412136841866e-06
2021-10-21,0.06,2.3802412136841866e-06
2021-10-22,0.05,1.98363308512306e-06
2021-10-25,0.07,2.77680986426887e-06
2021-10-26,0.06,2.3802412136841866e-06
2021-10-27,0.06,2.3802412136841866e-06
2021-10-28,0.06,2.3802412136841866e-06
2021-10-29,0.06,2.3802412136841866e-06
2021-11-01,0.05,1.98363308512306e-06
2021-11-02,0.05,1.98363308512306e-06
2021-11-03,0.05,1.98363308512306e-06
2021-11-04,0.05,1.98363308512306e-06
2021-11-05,0.05,1.98363308512306e-06
2021-11-08,0.04,1.5869854708139286e-06
2021-11-09,0.04,1.5869854708139286e-06
2021-11-10,0.06,2.3802412136841866e-06
2021-11-12,0.05,1.98363308512306e-06
2021-11-15,0.06,2.3802412136841866e-06
2021-11-16,0.06,2.3802412136841866e-06
2021-11-17,0.06,2.3802412136841866e-06
2021-11-18,0.12,4.759061227099792e-06
2021-11-19,0.11,4.362689847159373e-06
2021-11-22,0.07,2.77680986426887e-06
2021-11-23,0.06,2.3802412136841866e-06
2021-11-24,0.14,5.551685702931408e-06
2021-11-26,0.11,4.362689847159373e-06
2021-11-29,0.07,2.77680986426887e-06
2021-11-30,0.11,4.362689847159373e-06
2021-12-01,0.09,3.5698287639274184e-06
2021-12-02,0.05,1.98363308512306e-06
2021-12-03,0.04,1.5869854708139286e-06
2021-12-06,0.05,1.98363308512306e-06
2021-12-07,0.05,1.98363308512306e-06
2021-12-08,0.04,1.5869854708139286e-06
2021-12-09,0.03,1.1902983632072761e-06
2021-12-10,0.03,1.1902983632072761e-06
2021-12-13,0.01,3.968056356828953e-07
2021-12-14,0.02,7.935717540874521e-07
2021-12-15,0.03,1.1902983632072761e-06
2021-12-16,0.04,1.5869854708139286e-06
2021-12-17,0.03,1.1902983632072761e-06
2021-12-20,0.03,1.1902983632072761e-06
2021-12-21,0.03,1.1902983632072761e-06
2021-12-22,0.03,1.1902983632072761e-06
2021-12-23,0.04,1.5869854708139286e-06
2021-12-27,0.04,1.5869854708139286e-06
2021-12-28,0.03,1.1902983632072761e-06
2021-12-29,0.01,3.968056356828953e-07
2021-12-30,0.06,2.3802412136841866e-06
2021-12-31,0.06,2.3802412136841866e-06
2022-01-03,0.05,1.98363308512306e-06
2022-01-04,0.06,2.3802412136841866e-06
2022-01-05,0.05,1.98363308512306e-06
2022-01-06,0.04,1.5869854708139286e-06
2022-01-07,0.05,1.98363308512306e-06
2022-01-10,0.05,1.98363308512306e-06
2022-01-11,0.04,1.5869854708139286e-06
2022-01-12,0.04,1.5869854708139286e-06
2022-01-13,0.05,1.98363308512306e-06
2022-01-14,0.05,1.98363308512306e-06
2022-01-18,0.05,1.98363308512306e-06
2022-01-19,0.05,1.98363308512306e-06
2022-01-20,0.05,1.98363308512306e-06
2022-01-21,0.05,1.98363308512306e-06
2022-01-24,0.05,1.98363308512306e-06
2022-01-25,0.05,1.98363308512306e-06
2022-01-26,0.06,2.3802412136841866e-06
2022-01-27,0.04,1.5869854708139286e-06
2022-01-28,0.04,1.5869854708139286e-06
2022-01-31,0.03,1.1902983632072761e-06
2022-02-01,0.04,1.5869854708139286e-06
2022-02-02,0.04,1.5869854708139286e-06
2022-02-03,0.03,1.1902983632072761e-06
2022-02-04,0.05,1.98363308512306e-06
2022-02-07,0.03,1.1902983632072761e-06
2022-02-08,0.03,1.1902983632072761e-06
2022-02-09,0.04,1.5869854708139286e-06
2022-02-10,0.05,1.98363308512306e-06
2022-02-11,0.03,1.1902983632072761e-06
2022-02-14,0.03,1.1902983632072761e-06
2022-02-15,0.02,7.935717540874521e-07
2022-02-16,0.03,1.1902983632072761e-06
2022-02-17,0.06,2.3802412136841866e-06
2022-02-18,0.03,1.1902983632072761e-06
2022-02-22,0.03,1.1902983632072761e-06
2022-02-23,0.02,7.935717540874521e-07
2022-02-24,0.05,1.98363308512306e-06
2022-02-25,0.03,1.1902983632072761e-06
2022-02-28,0.06,2.3802412136841866e-06
2022-03-01,0.11,4.362689847159373e-06
2022-03-02,0.13,5.155393176359269e-06
2022-03-03,0.19,7.532557270595319e-06
2022-03-04,0.15,5.947938814809817e-06
2022-03-07,0.17,6.740326825349641e-06
2022-03-08,0.16,6.344152519766055e-06
2022-03-09,0.18,7.136461739776223e-06
2022-03-10,0.19,7.532557270595319e-06
2022-03-11,0.17,6.740326825349641e-06
2022-03-14,0.23,9.116545717002822e-06
2022-03-15,0.22,8.720607641343747e-06
2022-03-16,0.24,9.512444448356305e-06
2022-03-17,0.2,7.92861342602258e-06
2022-03-18,0.19,7.532557270595319e-06
2022-03-21,0.22,8.720607641343747e-06
2022-03-22,0.2,7.92861342602258e-06
2022-03-23,0.15,5.947938814809817e-06
2022-03-24,0.16,6.344152519766055e-06
2022-03-25,0.17,6.740326825349641e-06
2022-03-28,0.19,7.532557270595319e-06
2022-03-29,0.18,7.136461739776223e-06
2022-03-30,0.16,6.344152519766055e-06
2022-03-31,0.17,6.740326825349641e-06
2022-04-01,0.15,5.947938814809817e-06
2022-04-04,0.18,7.136461739776223e-06
2022-04-05,0.18,7.136461739776223e-06
2022-04-06,0.21,8.32463021360752e-06
2022-04-07,0.21,8.32463021360752e-06
2022-04-08,0.2,7.92861342602258e-06
2022-04-11,0.22,8.720607641343747e-06
2022-04-12,0.21,8.32463021360752e-06
2022-04-13,0.26,1.0304123909676832e-05
2022-04-14,0.37,1.4655551191511407e-05
2022-04-18,0.38,1.5050899925261874e-05
2022-04-19,0.37,1.4655551191511407e-05
2022-04-20,0.35,1.3864736012392243e-05
2022-04-21,0.5,1.9792027252663047e-05
2022-04-22,0.46,1.8212278277252025e-05
2022-04-25,0.4,1.5841479719114204e-05
2022-04-26,0.38,1.5050899925261874e-05
2022-04-27,0.37,1.4655551191511407e-05
2022-04-28,0.37,1.4655551191511407e-05
2022-04-29,0.37,1.4655551191511407e-05
2022-05-02,0.41,1.623671079520328e-05
2022-05-03,0.48,1.900223106310328e-05
2022-05-04,0.49,1.9397148728561575e-05
2022-05-05,0.49,1.9397148728561575e-05
2022-05-06,0.48,1.900223106310328e-05
2022-05-09,0.51,2.0186866643179258e-05
2022-05-10,0.57,2.255508161708164e-05
2022-05-11,0.59,2.3344173892159148e-05
2022-05-12,0.61,2.4133109912671813e-05
2022-05-13,0.67,2.6498981064992932e-05
2022-05-16,0.64,2.5316221101023828e-05
2022-05-17,0.61,2.4133109912671813e-05
2022-05-18,0.56,2.2160476864652168e-05
2022-05-19,0.65,2.5710513436916216e-05
2022-05-20,0.63,2.492188974012599e-05
2022-05-23,0.55,2.17658330252668e-05
2022-05-24,0.55,2.17658330252668e-05
2022-05-25,0.58,2.294964729032678e-05
2022-05-26,0.71,2.8075448361919442e-05
2022-05-27,0.69,2.7287292685862496e-05
2022-05-31,0.73,2.886344815444808e-05
2022-06-01,0.77,3.0438980336500165e-05
2022-06-02,0.85,3.358817681675674e-05
2022-06-03,0.87,3.4375087153648565e-05
2022-06-06,0.88,3.4768484046932e-05
2022-06-07,0.87,3.4375087153648565e-05
2022-06-08,0.89,3.516184210039519e-05
2022-06-09,1.05,4.145029499813546e-05
2022-06-10,1.1,4.341340280400452e-05
2022-06-13,1.13,4.459080337038124e-05
2022-06-14,1.19,4.6944561201023305e-05
2022-06-15,1.21,4.7728838241667404e-05
2022-06-16,1.19,4.6944561201023305e-05
2022-06-17,1.15,4.5375543826331466e-05
2022-06-21,1.08,4.262827574930128e-05
2022-06-22,0.98,3.870031805486285e-05
2022-06-23,1.12,4.419837517355418e-05
2022-06-24,1.19,4.6944561201023305e-05
2022-06-27,1.16,4.576785610077572e-05
2022-06-28,1.12,4.419837517355418e-05
2022-06-29,1.12,4.419837517355418e-05
2022-06-30,1.28,5.0472592777017766e-05
2022-07-01,1.27,5.008074350687508e-05
2022-07-05,1.33,5.243126126464048e-05
2022-07-06,1.36,5.360600034065577e-05
2022-07-07,1.55,6.10379819414586e-05
2022-07-08,1.57,6.18194899655311e-05
2022-07-11,1.58,6.221018650132137e-05
2022-07-12,1.63,6.416309471890536e-05
2022-07-13,1.78,7.001608264878278e-05
2022-07-14,1.99,7.81958479070255e-05
2022-07-15,1.98,7.780671582890974e-05
2022-07-18,1.96,7.702833764056116e-05
2022-07-19,1.93,7.586048516672328e-05
2022-07-20,1.92,7.5471124928006e-05
2022-07-21,2.15,8.441679811777014e-05
2022-07-22,2.15,8.441679811777014e-05
2022-07-25,2.14,8.402827315934225e-05
2022-07-26,2.17,8.519373439619393e-05
2022-07-27,2.14,8.402827315934225e-05
2022-07-28,2.2,8.635885482832784e-05
2022-07-29,2.22,8.713541254601331e-05
2022-08-01,2.22,8.713541254601331e-05
2022-08-02,2.22,8.713541254601331e-05
2022-08-03,2.2,8.635885482832784e-05
2022-08-04,2.19,8.597051920578025e-05
2022-08-05,2.21,8.6747152605815e-05
2022-08-08,2.23,8.75236346555841e-05
2022-08-09,2.23,8.75236346555841e-05
2022-08-10,2.24,8.791181894252098e-05
2022-08-11,2.24,8.791181894252098e-05
2022-08-12,2.23,8.75236346555841e-05
2022-08-15,2.27,8.907614494035876e-05
2022-08-16,2.26,8.868807407758084e-05
2022-08-17,2.22,8.713541254601331e-05
2022-08-18,2.23,8.75236346555841e-05
2022-08-19,2.23,8.75236346555841e-05
2022-08-22,2.27,8.907614494035876e-05
2022-08-23,2.28,8.946417800981266e-05
2022-08-24,2.29,8.985217329349204e-05
2022-08-25,2.42,9.489267681228597e-05
2022-08-26,2.39,9.37300495240656e-05
2022-08-29,2.45,9.605496495423971e-05
2022-08-30,2.43,9.52801438660611e-05
2022-08-31,2.4,9.411762964850467e-05
2022-09-01,2.53,9.915274345884129e-05
2022-09-02,2.49,9.760415525894572e-05
2022-09-06,2.44,9.566757324419584e-05
2022-09-07,2.3,9.024013079850235e-05
2022-09-08,2.57,0.00010070073002266255
2022-09-09,2.57,0.00010070073002266255
2022-09-12,2.62,0.00010263486789030551
2022-09-13,2.55,9.992681191595132e-05
2022-09-14,2.54,9.95397964849154e-05
2022-09-15,2.76,0.00010804546448128782
2022-09-16,2.68,0.00010495459470871715
2022-09-19,2.62,0.00010263486789030551
2022-09-20,2.57,0.00010070073002266255
2022-09-21,2.59,0.00010147449783759477
2022-09-22,2.73,0.00010688666927483048
2022-09-23,2.67,0.0001045680673463778
2022-09-26,2.73,0.00010688666927483048
2022-09-27,2.71,0.00010611395186810313
2022-09-28,2.63,0.00010302158282526896
2022-09-29,2.78,0.00010881780743443592
2022-09-30,2.79,0.00010920392277746771
2022-10-03,2.87,0.00011229149927749482
2022-10-04,2.91,0.00011383439078516133
2022-10-05,2.89,0.00011306301971147903
2022-10-06,3.05,0.0001192298110723744
2022-10-07,3.03,0.00011845948390121208
2022-10-11,3.07,0.00011999998934575373
2022-10-12,3.07,0.00011999998934575373
2022-10-13,3.35,0.00013076688313118368
2022-10-14,3.3,0.0001288463560800146
2022-10-17,3.3,0.0001288463560800146
2022-10-18,3.25,0.0001269249029072217
2022-10-19,3.31,0.00012923053555136121
2022-10-20,3.58,0.00013958940442315715
2022-10-21,3.55,0.00013843974798288805
2022-10-24,3.57,0.0001392062224645496
2022-10-25,3.56,0.00013882300365342104
2022-10-26,3.54,0.00013805645544584522
2022-10-27,3.76,0.00014648038601405844
2022-10-28,3.75,0.00014609786618535736
2022-10-31,3.73,0.00014533271634609157
2022-11-01,3.72,0.00014495008632153805
2022-11-02,3.7,0.00014418471602728467
2022-11-03,3.75,0.00014609786618535736
2022-11-04,3.73,0.00014533271634609157
2022-11-07,3.78,0.0001472453155255682
2022-11-08,3.66,0.00014265353426012872
2022-11-09,3.65,0.0001422706468645618
2022-11-10,3.71,0.0001445674195510449
2022-11-14,3.72,0.00014495008632153805
2022-11-15,3.77,0.0001468628691252416
2022-11-16,3.81,0.0001483924345326848
2022-11-17,3.93,0.0001529776110411607
2022-11-18,3.93,0.0001529776110411607
2022-11-21,3.97,0.00015450483147461114
2022-11-22,3.97,0.00015450483147461114
2022-11-23,4.12,0.00016022670055493293
2022-11-25,4.16,0.0001617511456717402
2022-11-28,4.11,0.00015984549813108373
2022-11-29,4.08,0.00015870167200104923
2022-11-30,4.07,0.0001583203236481534
2022-12-01,4.04,0.00015717605956244718
2022-12-02,3.91,0.0001522137812646207
2022-12-05,3.93,0.0001529776110411607
2022-12-06,3.87,0.00015068568231058066
2022-12-07,3.79,0.00014762772522214362
2022-12-08,3.75,0.00014609786618535736
2022-12-09,3.81,0.0001483924345326848
2022-12-12,3.86,0.00015030356598932926
2022-12-13,3.89,0.0001514498050398938
2022-12-14,3.91,0.0001522137812646207
2022-12-15,3.95,0.0001537412944259131
2022-12-16,3.94,0.00015335947102901315
2022-12-19,3.95,0.0001537412944259131
2022-12-20,3.89,0.0001514498050398938
2022-12-21,3.9,0.0001518318114617223
2022-12-22,3.8,0.00014801009822229538
2022-12-23,3.8,0.00014801009822229538
2022-12-27,3.87,0.00015068568231058066
2022-12-28,3.86,0.00015030356598932926
2022-12-29,4.04,0.00015717605956244718
2022-12-30,4.12,0.00016022670055493293
2023-01-03,4.17,0.00016213216584137768
2023-01-04,4.2,0.00016327500779889093
2023-01-05,4.3,0.00016708211546623275
2023-01-06,4.32,0.0001678431007052783
2023-01-09,4.37,0.00016974492823029763
2023-01-10,4.41,0.00017126573697634484
2023-01-11,4.42,0.00017164584848816666
2023-01-12,4.57,0.00017734317432438473
2023-01-13,4.58,0.00017772270657090417
2023-01-17,4.6,0.00017848166263445542
2023-01-18,4.59,0.00017810220267189258
2023-01-19,4.69,0.00018189517720434978
2023-01-20,4.69,0.00018189517720434978
2023-01-23,4.69,0.00018189517720434978
2023-01-24,4.7,0.0001822742761612428
2023-01-25,4.67,0.00018113687107490506
2023-01-26,4.61,0.00017886108646547605
2023-01-27,4.61,0.00017886108646547605
2023-01-30,4.6,0.00017848166263445542
2023-01-31,4.58,0.00017772270657090417
2023-02-01,4.59,0.00017810220267189258
2023-02-02,4.62,0.00017924047417183786
2023-02-03,4.61,0.00017886108646547605
2023-02-06,4.61,0.00017886108646547605
2023-02-07,4.62,0.00017924047417183786
2023-02-08,4.64,0.00017999914123811855
2023-02-09,4.66,0.0001807576638885866
2023-02-10,4.66,0.0001807576638885866
2023-02-13,4.66,0.0001807576638885866
2023-02-14,4.63,0.00017961982576042423
2023-02-15,4.64,0.00017999914123811855
2023-02-16,4.66,0.0001807576638885866
2023-02-17,4.64,0.00017999914123811855
2023-02-21,4.63,0.00017961982576042423
2023-02-22,4.62,0.00017924047417183786
2023-02-23,4.66,0.0001807576638885866
2023-02-24,4.68,0.000181516042177865
2023-02-27,4.67,0.00018113687107490506
2023-02-28,4.65,0.0001803784206118042
2023-03-01,4.67,0.00018113687107490506
2023-03-02,4.75,0.00018416923014275
2023-03-03,4.75,0.00018416923014275
2023-03-06,4.75,0.00018416923014275
2023-03-07,4.8,0.00018606328341497225
2023-03-08,4.77,0.00018492695948868487
2023-03-09,4.83,0.00018719928339461234
2023-03-10,4.81,0.00018644198605977103
2023-03-13,4.62,0.00017924047417183786
2023-03-14,4.47,0.00017354586234641367
2023-03-15,4.23,0.00016441752207607685
2023-03-16,4.22,0.00016403672038101114
2023-03-17,4.31,0.0001674626262520018
2023-03-20,4.34,0.00016860394064277529
2023-03-21,4.07,0.0001583203236481534
2023-03-22,4.16,0.0001617511456717402
2023-03-23,4.26,0.0001655597088607852
2023-03-24,4.28,0.00016632098486990543
2023-03-27,4.22,0.00016403672038101114
2023-03-28,4.24,0.0001647982873829168
2023-03-29,4.34,0.00016860394064277529
2023-03-30,4.74,0.00018379031143078706
2023-03-31,4.74,0.00018379031143078706
2023-04-03,4.7,0.0001822742761612428
2023-04-04,4.66,0.0001807576638885866
2023-04-05,4.62,0.00017924047417183786
2023-04-06,4.57,0.00017734317432438473
2023-04-07,4.56,0.00017696360592567295
2023-04-10,4.53,0.00017582468374710558
2023-04-11,4.27,0.00016594036504535836
2023-04-12,4.27,0.00016594036504535836
2023-04-13,4.08,0.00015870167200104923
2023-04-14,4.29,0.00016670156834108774
2023-04-17,4.09,0.00015908298386113628
2023-04-18,3.89,0.0001514498050398938
2023-04-19,3.95,0.0001537412944259131
2023-04-20,3.4,0.00013268648495490254
2023-04-21,3.36,0.00013115087748549747
2023-04-24,3.54,0.00013805645544584522
2023-04-25,4.11,0.00015984549813108373
2023-04-26,3.91,0.0001522137812646207
2023-04-27,4.27,0.00016594036504535836
2023-04-28,4.35,0.00016898430614076254
2023-05-01,4.49,0.00017430561429154778
2023-05-02,4.56,0.00017696360592567295
2023-05-03,4.7,0.0001822742761612428
2023-05-04,5.76,0.00022225560827449087
2023-05-05,5.59,0.00021587045473081545
2023-05-08,5.51,0.0002128621327464053
2023-05-09,5.56,0.00021474260011022928
2023-05-10,5.5,0.00021248593276390615
2023-05-11,5.81,0.00022413164917400863
2023-05-12,5.79,0.00022338133879551414
2023-05-15,5.64,0.00021774950335062826
2023-05-16,5.58,0.00021549453865810086
2023-05-17,5.5,0.00021248593276390615
2023-05-18,5.59,0.00021587045473081545
2023-05-19,5.62,0.00021699799022467658
2023-05-22,5.69,0.00021962766634398
2023-05-23,5.67,0.000218876507368293
2023-05-24,5.73,0.0002211295596499241
2023-05-25,5.95,0.00022937986991400372
2023-05-26,6.02,0.000232001390587655
2023-05-30,5.31,0.00020533137682576807
2023-05-31,5.28,0.0002042005349363052
2023-06-01,5.3,0.0002049544651852031
2023-06-02,5.28,0.0002042005349363052
2023-06-05,5.25,0.0002030693720416199
2023-06-06,5.15,0.00019929650834193957
2023-06-07,5.07,0.0001962756433240287
2023-06-08,5.25,0.0002030693720416199
2023-06-09,5.25,0.0002030693720416199
2023-06-12,5.24,0.00020269224637736727
2023-06-13,5.19,0.00020080608250583332
2023-06-14,5.18,0.00020042874257408805
2023-06-15,5.18,0.00020042874257408805
2023-06-16,5.18,0.00020042874257408805
2023-06-20,5.17,0.00020005136690737224
2023-06-21,5.16,0.0001996739554988025
2023-06-22,5.18,0.00020042874257408805
2023-06-23,5.17,0.00020005136690737224
2023-06-26,5.17,0.00020005136690737224
2023-06-27,5.17,0.00020005136690737224
2023-06-28,5.17,0.00020005136690737224
2023-06-29,5.25,0.0002030693720416199
2023-06-30,5.24,0.00020269224637736727
2023-07-03,5.27,0.00020382351631442752
2023-07-05,5.28,0.0002042005349363052
2023-07-06,5.32,0.00020570825281929217
2023-07-07,5.32,0.00020570825281929217
2023-07-10,5.34,0.00020646189789252922
2023-07-11,5.35,0.0002068386669857869
2023-07-12,5.36,0.0002072154004588711
2023-07-13,5.37,0.00020759209831888725
2023-07-14,5.37,0.00020759209831888725
2023-07-17,5.37,0.00020759209831888725
2023-07-18,5.37,0.00020759209831888725
2023-07-19,5.37,0.00020759209831888725
2023-07-20,5.44,0.0002102279867355339
2023-07-21,5.43,0.0002098515379793664
