Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04 00:00:00-05:00,53.62812993328383,55.01261247495617,52.56455289867232,53.105506896972656,9187200,0.0,0.0
2021-01-05 00:00:00-05:00,53.07799959091793,53.28888084393992,52.555380073079185,53.160518646240234,5421900,0.0,0.0
2021-01-06 00:00:00-05:00,53.16969342715539,53.48143171574035,52.86712236870182,53.05966567993164,7663200,0.0,0.0
2021-01-07 00:00:00-05:00,52.922128856515826,53.4997587095914,52.58288192966622,52.95880126953125,8589100,0.0,0.0
2021-01-08 00:00:00-05:00,52.60121919150992,53.42640968160663,52.56454677897796,53.353057861328125,6642700,0.0,0.0
2021-01-11 00:00:00-05:00,53.32555559613683,53.38056946435672,52.31699249535786,52.34449768066406,6761500,0.0,0.0
2021-01-12 00:00:00-05:00,52.5828831450042,52.74792124901382,52.04192569244101,52.55537796020508,7450900,0.0,0.0
2021-01-13 00:00:00-05:00,52.344498597634875,52.93129921183002,52.28031749905775,52.60122299194336,7276500,0.0,0.0
2021-01-14 00:00:00-05:00,52.64706475379019,52.91295986812831,52.25281094327077,52.54621124267578,7325200,0.0,0.0
2021-01-15 00:00:00-05:00,52.47285130976768,52.72040842993411,51.97773706943481,52.46368408203125,7410400,0.0,0.0
2021-01-19 00:00:00-05:00,52.711259384980146,52.90380271232523,52.28032608297227,52.390350341796875,6672100,0.0,0.0
2021-01-20 00:00:00-05:00,52.39034030998149,52.57371637131467,51.91356394955821,52.35366439819336,5179100,0.0,0.0
2021-01-21 00:00:00-05:00,52.18863236381451,52.26198419592372,51.299264133941435,51.45513153076172,6938100,0.0,0.0
2021-01-22 00:00:00-05:00,51.40928743991794,51.876896617002785,51.27175450604409,51.57432556152344,6241800,0.0,0.0
2021-01-25 00:00:00-05:00,51.33593502999773,52.30782222715159,51.152558965264404,52.142784118652344,7388700,0.0,0.0
2021-01-26 00:00:00-05:00,52.069435792611145,52.92213152067582,51.87689249855977,52.80293655395508,4759800,0.0,0.0
2021-01-27 00:00:00-05:00,52.252813300196244,53.16051942442134,51.61099880469518,51.73019027709961,7583000,0.0,0.0
2021-01-28 00:00:00-05:00,51.89522151398478,52.80293101554495,51.70267824012894,52.37199783325195,7522700,0.0,0.0
2021-01-29 00:00:00-05:00,50.47407216697787,52.11528264184486,50.391553106855845,50.8316535949707,14261000,0.0,0.0
2021-02-01 00:00:00-05:00,50.98752789218211,51.299266195961124,50.50158422655316,50.65745162963867,8868200,0.0,0.0
2021-02-02 00:00:00-05:00,50.98751688534639,52.051093780828644,50.602426829640315,51.491798400878906,7378600,0.0,0.0
2021-02-03 00:00:00-05:00,51.19840793712362,51.29009423112705,50.602436533277576,50.68495559692383,7583100,0.0,0.0
2021-02-04 00:00:00-05:00,50.71245667486437,51.63850069675391,50.5932617124563,51.34510040283203,7185500,0.0,0.0
